date,areaType,areaCode,areaName,newCasesByPublishDate,newDeaths28DaysByPublishDate
06/09/2020,utla,E06000007,Warrington,23,0
02/10/2020,utla,E10000018,Leicestershire,44,0
01/10/2020,utla,E10000018,Leicestershire,38,0
30/09/2020,utla,E10000018,Leicestershire,46,0
29/09/2020,utla,E10000018,Leicestershire,45,1
28/09/2020,utla,E10000018,Leicestershire,26,0
27/09/2020,utla,E10000018,Leicestershire,36,0
26/09/2020,utla,E10000018,Leicestershire,52,3
25/09/2020,utla,E10000018,Leicestershire,52,0
10/01/2021,utla,E06000051,Shropshire,200,2
09/01/2021,utla,E06000051,Shropshire,163,3
08/01/2021,utla,E06000051,Shropshire,240,5
24/09/2020,utla,E10000018,Leicestershire,58,0
05/09/2020,utla,E06000007,Warrington,9,0
04/09/2020,utla,E06000007,Warrington,9,0
03/09/2020,utla,E06000007,Warrington,10,0
02/09/2020,utla,E06000007,Warrington,9,0
23/09/2020,utla,E10000018,Leicestershire,49,1
22/09/2020,utla,E10000018,Leicestershire,42,0
21/09/2020,utla,E10000018,Leicestershire,19,0
20/09/2020,utla,E10000018,Leicestershire,36,0
19/09/2020,utla,E10000018,Leicestershire,41,0
07/01/2021,utla,E06000051,Shropshire,225,2
18/09/2020,utla,E10000018,Leicestershire,40,0
17/09/2020,utla,E10000018,Leicestershire,38,0
16/09/2020,utla,E10000018,Leicestershire,48,0
15/09/2020,utla,E10000018,Leicestershire,56,0
14/09/2020,utla,E10000018,Leicestershire,36,1
13/09/2020,utla,E10000018,Leicestershire,51,0
12/09/2020,utla,E10000018,Leicestershire,40,0
11/09/2020,utla,E10000018,Leicestershire,52,0
10/09/2020,utla,E10000018,Leicestershire,20,0
09/09/2020,utla,E10000018,Leicestershire,32,1
08/09/2020,utla,E10000018,Leicestershire,43,2
07/09/2020,utla,E10000018,Leicestershire,30,0
12/02/2021,utla,E08000014,Sefton,66,9
06/09/2020,utla,E10000018,Leicestershire,39,0
11/02/2021,utla,E08000014,Sefton,66,6
10/02/2021,utla,E08000014,Sefton,78,9
05/09/2020,utla,E10000018,Leicestershire,22,0
09/02/2021,utla,E08000014,Sefton,63,9
08/02/2021,utla,E08000014,Sefton,87,1
04/09/2020,utla,E10000018,Leicestershire,11,0
03/09/2020,utla,E10000018,Leicestershire,11,0
02/09/2020,utla,E10000018,Leicestershire,12,0
01/09/2020,utla,E10000018,Leicestershire,7,0
31/08/2020,utla,E10000018,Leicestershire,6,0
30/08/2020,utla,E10000018,Leicestershire,14,0
29/08/2020,utla,E10000018,Leicestershire,11,0
28/08/2020,utla,E10000018,Leicestershire,9,0
27/08/2020,utla,E10000018,Leicestershire,15,0
07/02/2021,utla,E08000014,Sefton,113,7
06/01/2021,utla,E06000051,Shropshire,211,2
01/09/2020,utla,E06000007,Warrington,5,0
06/02/2021,utla,E08000014,Sefton,139,3
05/02/2021,utla,E08000014,Sefton,151,12
26/08/2020,utla,E10000018,Leicestershire,7,0
25/08/2020,utla,E10000018,Leicestershire,18,1
24/08/2020,utla,E10000018,Leicestershire,8,0
23/08/2020,utla,E10000018,Leicestershire,12,0
