AcadYear,StuNo,Active,Activedate,CreatedDate
16,1507134,Y,07/09/2016,06/09/2016
16,1507145,Y,07/09/2016,02/09/2016
16,1600046,Y,07/09/2016,05/09/2016
16,1600049,Y,07/09/2016,05/09/2016
16,1600053,Y,07/09/2016,05/09/2016
16,1600106,Y,07/09/2016,06/09/2016
16,1600112,Y,07/09/2016,06/09/2016
16,1600117,Y,07/09/2016,05/09/2016
16,1600118,Y,07/09/2016,05/09/2016
16,1600145,Y,07/09/2016,05/09/2016
16,1600150,Y,07/09/2016,06/09/2016
16,1600152,Y,07/09/2016,06/09/2016
16,1600154,Y,07/09/2016,05/09/2016
16,1600161,Y,07/09/2016,05/09/2016
16,1600170,Y,07/09/2016,06/09/2016
16,1600174,Y,07/09/2016,06/09/2016
16,1600290,Y,07/09/2016,05/09/2016
16,1600379,Y,07/09/2016,05/09/2016
16,1600422,Y,07/09/2016,05/09/2016
16,1600434,Y,07/09/2016,06/09/2016
16,1600448,Y,07/09/2016,05/09/2016
16,1600453,Y,07/09/2016,06/09/2016
16,1600463,Y,07/09/2016,05/09/2016
16,1600471,Y,07/09/2016,06/09/2016
16,1600640,Y,07/09/2016,05/09/2016
16,1600653,Y,07/09/2016,05/09/2016
16,1600657,Y,07/09/2016,05/09/2016
16,1600696,Y,07/09/2016,05/09/2016
16,1600698,Y,07/09/2016,05/09/2016
16,1600732,Y,07/09/2016,05/09/2016
16,1600736,Y,07/09/2016,06/09/2016
16,1600792,Y,07/09/2016,05/09/2016
16,1600801,Y,07/09/2016,05/09/2016
16,1600813,Y,07/09/2016,06/09/2016
16,1600842,Y,07/09/2016,06/09/2016
16,1600848,Y,07/09/2016,05/09/2016
16,1600854,Y,07/09/2016,05/09/2016
16,1600894,Y,07/09/2016,05/09/2016
16,1600909,Y,07/09/2016,05/09/2016
16,1600912,Y,07/09/2016,05/09/2016
16,1600916,Y,07/09/2016,05/09/2016
16,1600918,Y,07/09/2016,05/09/2016
16,1600989,Y,07/09/2016,05/09/2016
16,1601016,Y,07/09/2016,06/09/2016
16,1601101,Y,07/09/2016,06/09/2016
16,1601164,Y,07/09/2016,02/09/2016
16,1601214,Y,07/09/2016,05/09/2016
16,1601247,Y,07/09/2016,05/09/2016
16,1601262,Y,07/09/2016,05/09/2016
16,1601280,Y,07/09/2016,05/09/2016
16,1601286,Y,07/09/2016,05/09/2016
16,1601304,Y,07/09/2016,05/09/2016
16,1601329,Y,07/09/2016,05/09/2016
16,1601336,Y,07/09/2016,06/09/2016
16,1601387,Y,07/09/2016,06/09/2016
16,1601473,Y,07/09/2016,05/09/2016
16,1601539,Y,07/09/2016,05/09/2016
16,1601559,Y,07/09/2016,06/09/2016
16,1601570,Y,07/09/2016,06/09/2016
16,1601609,Y,07/09/2016,05/09/2016
16,1601617,Y,07/09/2016,05/09/2016
16,1601653,Y,07/09/2016,05/09/2016
16,1601682,Y,07/09/2016,05/09/2016
16,1601695,Y,07/09/2016,05/09/2016
16,1601745,Y,07/09/2016,05/09/2016
16,1601759,Y,07/09/2016,05/09/2016
16,1601767,Y,07/09/2016,05/09/2016
16,1601773,Y,07/09/2016,05/09/2016
16,1601833,Y,07/09/2016,05/09/2016
16,1601909,Y,07/09/2016,05/09/2016
16,1601940,Y,07/09/2016,06/09/2016
16,1601981,Y,07/09/2016,05/09/2016
16,1602030,Y,07/09/2016,05/09/2016
16,1602059,Y,07/09/2016,05/09/2016
16,1602085,Y,07/09/2016,06/09/2016
16,1602125,Y,07/09/2016,06/09/2016
16,1602126,Y,07/09/2016,05/09/2016
16,1602141,Y,07/09/2016,05/09/2016
16,1602147,Y,07/09/2016,05/09/2016
16,1602213,Y,07/09/2016,05/09/2016
16,1602248,Y,07/09/2016,05/09/2016
16,1602273,Y,07/09/2016,05/09/2016
16,1602307,Y,07/09/2016,05/09/2016
16,1602316,Y,07/09/2016,05/09/2016
16,1602341,Y,07/09/2016,05/09/2016
16,1602375,Y,07/09/2016,05/09/2016
16,1602427,Y,07/09/2016,05/09/2016
16,1602456,Y,07/09/2016,05/09/2016
16,1602522,Y,07/09/2016,05/09/2016
16,1602603,Y,07/09/2016,06/09/2016
16,1602608,Y,07/09/2016,05/09/2016
16,1602698,Y,07/09/2016,05/09/2016
16,1602784,Y,07/09/2016,05/09/2016
16,1602812,Y,07/09/2016,05/09/2016
16,1602813,Y,07/09/2016,05/09/2016
16,1602835,Y,07/09/2016,05/09/2016
16,1602864,Y,07/09/2016,05/09/2016
16,1602865,Y,07/09/2016,05/09/2016
16,1602906,Y,07/09/2016,05/09/2016
16,1602907,Y,07/09/2016,05/09/2016
16,1602971,Y,07/09/2016,06/09/2016
16,1602982,Y,07/09/2016,05/09/2016
16,1603075,Y,07/09/2016,05/09/2016
16,1603144,Y,07/09/2016,07/09/2016
16,1603159,Y,07/09/2016,06/09/2016
16,1603163,Y,07/09/2016,05/09/2016
16,1603166,Y,07/09/2016,06/09/2016
16,1603171,Y,07/09/2016,05/09/2016
16,1603248,Y,07/09/2016,05/09/2016
16,1603260,Y,07/09/2016,05/09/2016
16,1603274,Y,07/09/2016,06/09/2016
