stu_code,spr_code,stu_gend,Disability,scj_crsc,scj_moac,stu_hqlc,Age,Class,spr_levc,Tariff,Yr1Mark,FinalMark,MitClaims,StuSup
1407596,1407596/1,M,Yes,BABM,FT,X06,20,2,L6,300,68.75,62.9,0,10
1407597,1407597/1,F,No,BAAAH,FT,X06,20,2,L6,280,64.38,68.4,0,3
1407604,1407604/1,F,No,BSCPSYCH,FT,HUK,20,2,L6,260,60.5,63,0,1
1407605,1407605/1,M,No,BABM,FT,Q80,21,1,L6,110,67.13,52.08,0,2
1407606,1407606/1,M,No,BASPBUSMAN,FT,P50,21,6,L6,140,59.5,55.5,0,1
1407608,1407608/1,M,No,BAAAH,FT,P50,21,9,L6,160,61.25,54.63,0,1
1407615,1407615/1,M,No,BACOMMU,FT,X04,22,9,L6,,51.25,52.55,0,0
1407620,1407620/1,M,No,BSCSEPS,FT,HUK,21,2,L6,230,65.75,64.68,0,10
1407621,1407621/1,F,No,BAAAH,FT,P50,21,6,L6,160,61.88,63.63,0,0
1407623,1407623/1,M,No,BSCSEPS,FT,P50,20,5,L6,160,50.88,58.98,1,0
1407626,1407626/1,M,No,BSCSEPS,FT,X05,21,2,L6,250,61.5,69.35,0,0
1407630,1407630/1,F,No,BABM,FT,P41,22,2,L6,370,63.5,56.85,0,0
1407631,1407631/1,F,No,BABM,FT,P41,22,5,L6,320,66.75,67.4,1,0
1407633,1407633/1,F,Yes,BAAAH,FT,P50,21,2,L6,240,58.38,59.5,0,18
1407634,1407634/1,F,No,BAAAH,FT,P50,20,2,L6,210,65.63,65.13,0,0
1407637,1407637/1,F,No,BAAAH,FT,P50,20,1,L6,260,56.5,59,0,0
1407640,1407640/1,F,No,BSCSPEX,FT,P50,21,1,L6,310,63.63,65.65,0,0
1407647,1407647/1,F,No,BAAAH,FT,X06,24,9,L6,,56.75,52.3,0,7
1407651,1407651/1,M,No,BAAAH,FT,P41,21,3,L6,220,59.38,53.55,0,3
