First,Final
58.13,59.13
61.73,61.88
59.5,62.25
61.75,56.88
55.88,56.25
72.95,69.63
71.3,71.63
59.98,55.75
61.68,70.38
66.95,66.88
61.08,49.75
59.78,61.38
68.8,62.63
64.9,59.88
53.85,44.63
74.3,69.25
65.7,68.38
56.85,62.88
59.55,62.38
69.48,69.88
70,62.63
63.38,65.13
66.38,63.13
60.68,59.75
62.28,61.5
57.15,62.13
62.2,63.63
67.8,73.38
69.35,66.75
69.88,54.38
61.35,62.38
77.2,55.25
57.83,52.75
64.98,61
67.9,70.21
63.58,60
63.05,56.75
62.4,65.5
64.08,60.88
64.43,63.63
60.33,62.38
59.1,57.75
55.18,55.38
66.9,64.38
62.63,60.63
60.65,63.75
58.68,53.75
59.43,57.5
65.6,60.13
70.03,62.42
53.58,70.25
62.9,62.96
57.23,60.75
71.4,75.75
61.83,49.75
59.5,63.38
53.65,63.13
57.45,62
67.13,62.38
64.2,61.88
58.03,63.38
64.85,64.13
64.43,64.5
51.88,57.13
63.88,63.5
63.78,58.38
66.98,64.5
